GENE,type
PRMT5,Other
MAGOHB,Other
LSM10,Other
CPN2,Other
SNAPC5,Other
RCN2,Other
RAB43,Other
NQO1,Other
DEF6,Other
NKX2-6,TF
ZNF784,Other
DYNC1I1,Other
EZH2,Other
PKM,Other
CIDEA,Other
TUBB3,Other
ZFP3,TF
ARID1A,TF
NAP1L5,Other
ING3,Other
DNAJC25,Other
SLC25A36,Other
CALR,Other
TRIM41,Other
SLC2A4,Other
CNOT1,Other
VGLL2,Other
ATP11B,Other
PITPNB,Other
IL23R,Other
DIAPH2,Other
MSC,TF
KBTBD11,Other
DCBLD2,Other
IMPDH2,Other
MEOX1,TF
TACC1,Other
STXBP5,Other
ETV4,TF
LARP1B,Other
ING5,Other
TMTC2,Other
FAM20C,Other
FGF13,Other
RPLP2,Other
HBA1,Other
TUFM,Other
SIAH2,Other
SOX11,TF
PHF23,Other
RAB39A,Other
TSPYL5,Other
DTX2,Other
EBF1,TF
ZMYM4,Other
LRSAM1,Other
GADD45GIP1,Other
RAI1,Other
E2F7,TF
CD6,Other
SMC1A,Other
PNKP,Other
MKLN1,Other
IFT88,Other
ITLN1,Other
SOX2,TF
ZBTB7A,TF
UBE2O,Other
MED14,Other
PLEC,Other
DDX54,Other
FOXJ1,TF
TRIM25,Other
FZD2,Other
TRIM55,Other
A2M,Other
SMARCE1,Other
PRPF31,Other
POLR2L,Other
PSD3,Other
HSPA5,Other
WRAP53,Other
ACAP2,Other
PHF21B,Other
TCHP,Other
ZYX,Other
CSNK1D,Other
ULK1,Other
FLII,Other
GRHL1,TF
SAV1,Other
NFATC2IP,Other
PPP2R1A,Other
GSK3B,Other
CD28,Other
MBOAT1,Other
CABP4,Other
COPG1,Other
NCAPD2,Other
PPP2R2A,Other
LRCH2,Other
PGR,TF
HADHB,Other
LASP1,Other
PKD2L1,Other
AP3S1,Other
HNRNPM,Other
WNT11,Other
PLAG1,TF
MED16,Other
PARP10,Other
NFKBIZ,Other
RNF40,Other
CARM1,Other
TNP2,Other
STK25,Other
SPECC1L,Other
NR2F1,TF
SEC16A,Other
PPP1CA,Other
PMAIP1,Other
MYNN,TF
SRRM1,Other
LRRC37A,Other
FOXC2,TF
EIF4A2,Other
CWF19L1,Other
TACC3,Other
ZFPM1,TF
LRIG3,Other
MED25,Other
CUL1,Other
NCBP2,Other
LRRC57,Other
LIMS2,Other
SERTAD2,Other
CLIP4,Other
RORC,TF
MAF,TF
PCM1,Other
BGN,Other
ZFP41,TF
MYT1,TF
TSEN54,Other
CSF1,Other
AP2A2,Other
NKX2-5,TF
TGIF1,TF
SNAI3,TF
YAF2,Other
RLIM,Other
ARHGEF37,Other
PAWR,Other
JAG2,Other
PIF1,Other
CLN8,Other
TNFRSF18,Other
CDCA2,Other
ZNF71,TF
HMG20B,Other
RNF123,Other
RNF135,Other
MAFA,TF
DNMT3B,Other
RAB28,Other
GLRX5,Other
SIX6,TF
HOXD1,TF
NRROS,Other
MOB2,Other
FOXK1,TF
HEXIM1,Other
KCNH8,Other
TOP1MT,Other
GTF2H2,Other
HOXB4,TF
PHF6,Other
LIN9,Other
PRKCH,Other
CREB3L2,SE_TF
FMNL1,Other
SP1,TF
GP1BA,Other
SOCS1,Other
COPB2,Other
SIRT7,Other
ADAP2,Other
KDELR1,Other
ACTL10,Other
SHC4,Other
DRG1,Other
PHF12,Other
TBK1,Other
IFNL1,Other
SOX1,TF
SOCS3,Other
C8orf33,Other
WDR5B,Other
DDX59,Other
ZDHHC23,Other
RTN4RL1,Other
ZNF775,Other
TMED9,Other
RPS27L,Other
OLIG2,TF
IP6K2,Other
MXI1,TF
MORF4L1,Other
WT1,TF
MBD3L5,Other
ZNF704,Other
DBX2,TF
IRX3,TF
IKZF1,SE_TF
PKP3,Other
DGCR6,Other
HOXB2,TF
RAB12,Other
PRMT3,Other
IDH2,Other
EEF1G,Other
DHX34,Other
ZGPAT,Other
NAA38,Other
SLIT3,Other
RFX6,Other
PMCH,Other
PTP4A3,Other
ASCL2,TF
RARB,TF
DDX28,Other
PTCH1,Other
CSTF2T,Other
RIPK4,Other
SULT4A1,Other
NDN,Other
CCR4,Other
LRRC8B,Other
PURA,Other
ALX4,TF
IGDCC3,Other
SMAD3,TF
TTC32,Other
ACTRT3,Other
FIGLA,TF
MBD3L3,Other
NR2C1,TF
USP17L2,Other
SKA2,Other
TREX2,Other
RAB11B,Other
PRKD1,Other
MTA1,Other
MX2,Other
SHMT2,Other
MAPK11,Other
TTF1,Other
HAP1,Other
PARVA,Other
GNAL,Other
HDAC6,Other
EXOC7,Other
KLHDC10,Other
WDR25,Other
RFTN1,Other
VWCE,Other
ACTL7A,Other
KPNA4,Other
LRCH3,Other
HOMER1,Other
GATA4,TF
ZMIZ1,Other
TAL2,TF
PPIL2,Other
POLR3C,Other
ERCC6L,Other
RAX,TF
PNRC2,Other
ARID2,Other
WASF3,Other
HPDL,Other
PPP2R2C,Other
HSP90AA1,Other
VPS39,Other
DPPA4,Other
BCL9L,Other
SF3B1,Other
CDKN3,Other
SPATA12,Other
RTN4RL2,Other
FOXD2,TF
FMNL3,Other
FOXK2,TF
NR1I2,TF
RAD54B,Other
AP1S1,Other
CBX3,Other
RAD51C,Other
EIF5A,Other
TNPO1,Other
LARP1,Other
TBC1D22A,Other
DHX15,Other
SUPT7L,Other
KIR2DL1,Other
ATF4,SE_TF
ACTR8,Other
CENPA,Other
ARHGAP10,Other
PNRC1,Other
NME1,Other
MEN1,Other
EPB41L1,Other
ARHGEF1,Other
SIRT6,Other
TDP1,Other
NLRP3,Other
UXT,Other
IL17F,Other
ZNF324B,Other
SRA1,Other
PPP2R5E,Other
MAPK15,Other
DCX,Other
ZNF202,TF
PIDD1,Other
LCK,Other
KPTN,Other
OVOL1,TF
MXD4,TF
CYP3A4,Other
SUV39H1,Other
DNAJB2,Other
ZBTB16,TF
LMO1,Other
MTDH,Other
HEY1,TF
NPAS2,TF
GZF1,TF
SNCA,Other
ZNF212,TF
GNL3L,Other
RERE,TF
ASAP3,Other
BCL11A,TF
AP3S2,Other
RASGRP2,Other
LRRC8D,Other
ATG101,Other
TUBB,Other
FOXG1,TF
ZFP91,SE_TF
EEF1A1,Other
RBMX2,Other
RPS7,Other
ERAS,Other
CAV1,Other
TRIO,Other
HLA-DQA1,Other
ASCC1,Other
DPYSL4,Other
LBR,Other
TAF9B,Other
XRRA1,Other
NISCH,Other
MYB,TF
RBPMS,Other
LMX1A,TF
TAF3,Other
UBE2V1,Other
NYX,Other
CAPRIN1,Other
KAT5,Other
TCF7,TF
ACVR2B,Other
SLC20A2,Other
TRIM24,Other
UBE3B,Other
SGK2,Other
POTEH,Other
HUWE1,Other
ELSPBP1,Other
MAOA,Other
EIF4EBP1,Other
ZNF326,Other
GTF2F2,Other
MEF2C,SE_TF
ASH2L,Other
SYT3,Other
DMP1,Other
PTPN11,Other
SFN,Other
ARHGEF3,Other
HMX2,TF
PTK2,Other
STAT5A,TF
CECR2,Other
RBPJL,TF
GSPT2,Other
TRADD,Other
JARID2,Other
TUBB4B,Other
SRFBP1,Other
GGA1,Other
TEKT1,Other
SMAD4,TF
PAQR9,Other
NECAP1,Other
PPP1CC,Other
PHF10,Other
SOX18,TF
HNRNPA1,Other
RIOK3,Other
RPS2,Other
LRRC66,Other
LIN54,Other
DYRK2,Other
CREB3,TF
NCCRP1,Other
LRRIQ4,Other
ABCA9,Other
ERBB4,Other
FOXM1,TF
SAMD11,Other
SNRPD2,Other
MESP2,TF
BAZ1B,Other
TSTD2,Other
CEP97,Other
EYA1,Other
RNF41,Other
PLD1,Other
NKX2-3,TF
FERMT2,Other
POLR2K,Other
POU1F1,TF
SP100,Other
PRMT7,Other
ARID3B,Other
TRIM29,Other
XIRP1,Other
PPCDC,Other
JAK1,Other
HOXA1,TF
KLHL7,Other
FOXN3,TF
PKN1,Other
TCEA2,Other
USP7,Other
HOXA9,TF
PRRC2C,Other
MAP4K4,Other
KPNA1,Other
ATR,Other
OTX2,TF
TMTC4,Other
FRMD6,Other
PRELP,Other
ESR2,TF
IFNAR2,Other
PSPC1,Other
AUTS2,Other
IL17A,Other
PDPK1,Other
LRRC43,Other
LRRC17,Other
BSX,Other
ATF3,TF
LIN28B,TF
DNAJB13,Other
CTNNB1,Other
NR4A2,TF
IKZF3,SE_TF
ARID1B,TF
PTMA,Other
CCNG1,Other
NF2,Other
ECM2,Other
GFI1B,TF
SLC25A40,Other
MYO1F,Other
MAFK,TF
PLEKHG7,Other
MAP2K3,Other
IMPDH1,Other
NKX2-4,TF
PODNL1,Other
RBPJ,TF
PTGES2,Other
HMGB1,Other
MAFF,TF
ASCL4,TF
ZNF587,TF
PLSCR1,Other
E2F1,TF
DNAJB12,Other
VAPA,Other
GATA2,TF
NFYA,TF
PFKM,Other
TEAD3,TF
DPY30,Other
LYAR,Other
RPS21,Other
LRFN2,Other
RPL3,Other
RPL27A,Other
RPL21,Other
ANXA2,Other
RPS17,Other
RPS3A,Other
RPSA,Other
RPL22,Other
DDX21,Other
MAGI2,Other
REG4,Other
SETDB2,Other
SYT5,Other
COPS8,Other
MEF2A,TF
LRRIQ3,Other
ATG7,Other
IPO4,Other
VPS72,Other
THRAP3,Other
FYN,Other
HNRNPA2B1,Other
BMF,Other
PES1,Other
ACAP3,Other
ALDH9A1,Other
WLS,Other
FAR1,Other
NKX2-1,TF
GABPA,TF
AK2,Other
WAC,Other
SUV39H2,Other
FMOD,Other
MYL4,Other
NET1,Other
HTT,Other
BLM,Other
ITSN2,Other
POLR3H,Other
MAGEA11,Other
AP3D1,Other
MINK1,Other
LINGO1,Other
GIT2,Other
ARID4A,Other
LMX1B,TF
OPHN1,Other
HTR3A,Other
FBXL3,Other
PLEKHA7,Other
FAS,Other
PRPF39,Other
LRRC20,Other
UBE2I,Other
SREBF1,TF
ERCC6,Other
C1D,Other
KHDRBS3,Other
SVIL,Other
WDR88,Other
GTF2E2,Other
HP,Other
SH3PXD2A,Other
MYO9A,Other
COL27A1,Other
UVRAG,Other
RAC1,Other
SH3YL1,Other
GTF3C1,Other
AKAP9,Other
SDAD1,Other
AMPH,Other
RBCK1,Other
AREL1,Other
PITPNM1,Other
ARHGEF26,Other
RPS26,Other
SON,Other
PPP4R2,Other
SIAH1,Other
HNRNPH1,Other
PIWIL2,Other
SPTBN1,Other
TMEM71,Other
GOLGA4,Other
NHEJ1,Other
TNFRSF10C,Other
PTBP1,Other
IGF2R,Other
CALM1,Other
SCRIB,Other
ZBTB14,Other
CHD4,Other
ANK2,Other
MCRS1,Other
BCL11B,TF
SFPQ,Other
IRF5,TF
TBC1D8B,Other
SMARCAL1,Other
PRRC2B,Other
ACTB,Other
POTEF,Other
STRN3,Other
ARID5A,Other
HNRNPA1L2,Other
FXR1,Other
AP1B1,Other
BMX,Other
POT1,Other
BRPF3,Other
SAP130,Other
CREB5,TF
MAFG,TF
CHM,Other
APOA4,Other
COPS5,Other
HMX3,TF
RFX4,TF
PHF8,Other
ELK4,TF
DDX47,Other
TMCC2,Other
SYNE2,Other
NR3C2,TF
PAX5,TF
ZNF346,Other
RABEP2,Other
TES,Other
GMPPA,Other
NF1,Other
TPM1,Other
CX3CR1,Other
HNRNPAB,Other
RHOT1,Other
XAB2,Other
WTAP,Other
ATL1,Other
DNA2,Other
TRIM33,Other
CASP8,Other
RAD52,Other
ARNT,TF
ANKRD17,Other
WDR5,Other
PASK,Other
MAX,TF
BDP1,Other
NLGN3,Other
STIP1,Other
PRDM10,SE_TF
VCP,Other
PELI1,Other
MYPN,Other
POTEC,Other
TGFBR2,Other
MAP3K5,Other
AP2A1,Other
SMARCAD1,Other
PDE3A,Other
NAE1,Other
NOL12,Other
WWP2,Other
PIK3CG,Other
MAPK10,Other
XRCC6,Other
CD2AP,Other
TRPV6,Other
NUP214,Other
FGF17,Other
PCBP2,Other
TCF20,Other
DNMT1,Other
GTF3C2,Other
HAND2,TF
PCNT,Other
AP4M1,Other
LRRC61,Other
ELF3,TF
G3BP2,Other
DSG4,Other
RXRG,TF
TRRAP,Other
TEAD4,TF
RBM23,Other
ARHGEF18,Other
ATP2A3,Other
SDF4,Other
MCMBP,Other
HLA-DRB1,Other
DMBX1,TF
HOXA4,TF
TFRC,Other
SPN,Other
ETS2,TF
CUX1,Other
RAB5B,Other
BAZ1A,Other
GATAD2A,Other
LRRCC1,Other
CDC16,Other
EIF2B3,Other
DSC3,Other
COL4A2,Other
TOPORS,Other
TPPP,Other
LONP1,Other
ZNF148,TF
PAK3,Other
TLR9,Other
LGALS14,Other
GTPBP4,Other
ANKHD1,Other
MRPL37,Other
DNAJC5,Other
EIF3B,Other
MATR3,Other
STAT1,TF
CYTH1,Other
IQGAP3,Other
SREBF2,TF
DLX1,TF
ZEB1,TF
TOP1,Other
ASTN1,Other
MTOR,Other
GPX6,Other
SMURF1,Other
TAF11,Other
GPATCH3,Other
ZNF652,TF
AKAP13,Other
SMC3,Other
PCGF3,Other
RPL12,Other
ZNF521,TF
ARHGEF2,Other
NFE2L1,SE_TF
KIF21A,Other
GRM1,Other
MAP3K3,Other
TLR1,Other
POU3F3,TF
ILF2,Other
CTR9,Other
ARHGEF15,Other
DZIP3,Other
TAF13,Other
QKI,Other
HOXB1,TF
LRRC10,Other
LRRTM3,Other
INO80,Other
BECN1,Other
CDC42BPB,Other
E2F2,TF
KIAA0753,Other
CNOT7,Other
C1orf174,Other
RPL39,Other
TGM2,Other
SOX15,TF
OSGIN1,Other
AKR7A3,Other
MPHOSPH8,Other
LRIG2,Other
ISLR2,Other
CNST,Other
TFB2M,Other
EXO1,Other
WDR64,Other
CHML,Other
IRF2BP2,Other
NTPCR,Other
DISC1,Other
EGLN1,Other
EXOC8,Other
COG2,Other
ACTA1,Other
DLL1,Other
THBS2,Other
PARP1,Other
DACT2,Other
DUSP10,Other
HLX,TF
TGFB2,Other
ESRRG,TF
CENPF,Other
SMYD2,Other
PROX1,TF
NEK2,Other
IRF6,TF
HSD11B1,Other
CR1,Other
CD55,Other
MAPKAPK2,Other
AVPR1B,Other
LRRN2,Other
MDM4,Other
SOX13,TF
OPTC,Other
SYNE1,Other
KDM5B,Other
LGR6,Other
KIF14,Other
NR5A2,TF
PCMT1,Other
NEK7,Other
LHX9,TF
CRB1,Other
CDC73,Other
UCHL5,Other
TAB2,Other
PLA2G4A,Other
PTGS2,Other
SHPRH,Other
RNF2,Other
EPM2A,Other
UTRN,Other
DHX9,Other
RNASEL,Other
SF3B5,Other
HIVEP2,SE_TF
NPHS2,Other
RALGPS2,Other
FASLG,Other
DNM3,Other
OLIG3,TF
GORAB,Other
AHI1,Other
TBX19,TF
HBS1L,Other
DCAF6,Other
SGK1,Other
POU2F1,SE_TF
MAEL,Other
TCF21,TF
ATF6,TF
DUSP12,Other
NR1I3,TF
UFC1,Other
USF1,TF
VANGL2,Other
MED23,Other
COPA,Other
PEX19,Other
PEA15,Other
TAGLN2,Other
IFI16,Other
PYHIN1,Other
MNDA,Other
SPTA1,Other
ETV3,TF
ARHGEF11,Other
INSRR,Other
NES,Other
TTC24,Other
BGLAP,Other
PMF1,Other
PMF1-BGLAP,Other
LMNA,Other
GON4L,Other
DAP3,Other
YY1AP1,Other
HEY2,TF
HSF2,TF
PYGO2,Other
ATP8B2,Other
KPNA5,Other
RPS27,Other
VENTX,TF
RAB13,Other
CREB3L4,TF
TCERG1L,Other
EBF3,TF
MKI67,Other
GATAD2B,Other
ADAM12,Other
SNAPIN,Other
S100A14,Other
S100A3,Other
S100A7,Other
TRAF3IP2,Other
S100A10,Other
LINGO4,Other
BUB3,Other
PI4KB,Other
PSMD4,Other
AMD1,Other
IKZF5,TF
SCNM1,Other
CDK19,Other
CDC40,Other
NR2E1,TF
CTSS,Other
SEC63,Other
TACC2,Other
QRSL1,Other
RPRD2,Other
ATG5,Other
BAG3,Other
TIAL1,Other
PRDM1,SE_TF
VPS45,Other
EIF3A,Other
ASCC3,Other
FCGR1A,Other
CHD1L,Other
POLR3GL,Other
CASP7,Other
MAP3K7,Other
TCF7L2,TF
PHGDH,Other
SHOC2,Other
BRCC3,Other
TTF2,Other
CNR1,Other
F8A2,Other
NHLH2,TF
NRAS,Other
BCAS2,Other
AP4B1,Other
SYNCRIP,Other
DDX20,Other
TPBG,Other
SLK,Other
LRIF1,Other
NEURL1,Other
RBM15,Other
ALX3,TF
NEURL1B,Other
TAF5,Other
FLNA,Other
SUFU,Other
ACTR1A,Other
NFKB2,TF
MYO6,Other
IRAK1,Other
GBF1,Other
PITX3,TF
STXBP3,Other
PRMT6,Other
COX7A2,Other
SRPK3,Other
POLL,Other
BTRC,Other
LBX1,TF
TLX1,TF
HAUS7,Other
GCLM,Other
DR1,Other
CETN2,Other
PAX2,TF
RPL5,Other
GFI1,TF
DDX43,Other
SEC31B,Other
FATE1,Other
GLMN,Other
CHUK,Other
HSFX1,TF
HFM1,Other
BARHL2,TF
LRRC8C,Other
SMAP1,Other
FMR1,Other
GTF2B,Other
PKN2,Other
LDOC1,Other
SOX3,TF
LMO4,Other
COL24A1,Other
BCL10,Other
RBMX,Other
PTP4A1,Other
RPF1,Other
FKBP1C,Other
PRKACB,Other
BAG2,Other
GIPC2,Other
DNAJB4,Other
FUBP1,Other
BMP5,Other
ACADM,Other
PSMA7,Other
LRRC1,Other
LRRC40,Other
GADD45A,Other
SERBP1,Other
FRAT1,Other
EFHC1,Other
UBE2U,Other
LCOR,TF
GNAS,Other
OCRL,Other
SMARCA1,Other
ACTRT1,Other
STX16,Other
ZBP1,Other
NFIA,TF
XIAP,Other
JUN,TF
ALDH18A1,Other
SPO11,Other
TTC4,Other
RHOXF2,TF
RHOXF2B,Other
NKAP,Other
RUNX2,TF
RNF113A,Other
SUPT3H,Other
ZNF217,SE_TF
CDC5L,TF
TCTE1,Other
NDOR1,Other
LRRC26,Other
HSP90AB1,Other
UBE2A,Other
ORC1,Other
NPDC1,Other
LONRF3,Other
RABL6,Other
IFIT5,Other
IFIT1,Other
IFIT1B,Other
COL5A1,Other
IFIT3,Other
IFIT2,Other
STAU1,Other
ARFGEF2,Other
PREX1,Other
PTEN,Other
RAD54L,Other
SURF4,Other
NCOA3,Other
RPL7A,Other
SNCG,Other
BMPR1A,Other
CEL,Other
LRIT1,Other
GTF3C5,Other
IRS4,Other
GTF3C4,Other
DDX31,Other
HECTD3,Other
RAPGEF1,Other
PLK3,Other
POLH,Other
CD40,Other
DMAP1,Other
IPO13,Other
ABL1,Other
POLR3A,Other
POLR1C,Other
KDM4A,Other
NCS1,Other
CDC20,Other
PRRX2,TF
YBX1,TF
FOXJ3,TF
ESX1,TF
FOXO6,Other
RAB40A,Other
SET,Other
SMAP2,Other
SPTAN1,Other
PLAU,Other
STK4,Other
TOMM34,Other
PPIE,Other
YWHAB,Other
PABPC4,Other
ADA,Other
TIMM8A,Other
DNM1,Other
DNAJC9,Other
NOX1,Other
CSTF2,Other
TAF8,Other
SYTL4,Other
CCND3,Other
FHL3,Other
SF3A3,Other
INPP5B,Other
MCU,Other
NAP1L3,Other
ZC3H12A,Other
DACH2,Other
STK40,Other
MAP7D1,Other
SGPL1,Other
AGO1,Other
AGO4,Other
CHD6,Other
TFAP2E,TF
SAR1A,Other
CDK9,Other
TTC16,Other
STXBP1,Other
MAFB,TF
PGK1,Other
ATRX,Other
VPS26A,Other
RPRD1B,Other
TMEM54,Other
TBC1D22B,Other
RBBP4,Other
PIM1,Other
NAP1L2,Other
TSSK3,Other
MARCKSL1,Other
HDAC1,Other
GOLGA1,Other
HDAC8,Other
SRC,Other
DDX50,Other
NR5A1,TF
NEK6,Other
LHX2,TF
KPNA6,Other
CRB2,Other
RPS4X,Other
TET1,Other
RABGAP1,Other
RBL1,Other
ATOH7,TF
PPIL1,Other
SRSF3,Other
OGT,Other
SRSF4,Other
YTHDF2,Other
GSN,Other
SRPK1,Other
ITGB1BP2,Other
TRNAU1AP,Other
RCC1,Other
RAB14,Other
CNTRL,Other
PTAFR,Other
TGIF2,Other
BICC1,Other
RPA2,Other
AAR2,Other
IPMK,Other
TLR4,Other
PRKG1,Other
SCAND1,Other
PHF20,Other
MED12,Other
AGAP5,Other
DRGX,TF
ZDHHC18,Other
POLE3,Other
LIN28A,TF
FOXO4,TF
TRIM63,Other
DNAJC25-GNG10,Other
DLG3,Other
CLIC4,Other
KIF4A,Other
PHF1,Other
TXN,Other
DAXX,Other
RPL11,Other
ID3,TF
BMPR2,Other
HNRNPR,Other
RING1,Other
ACTL7B,Other
KLF4,TF
RXRB,SE_TF
AR,TF
PARD3,Other
NCOA6,Other
MAP1LC3A,Other
ZC4H2,Other
HLA-DMA,Other
TMEFF1,Other
SPIN2A,Other
HLA-DQA2,Other
HLA-DQB1,Other
HLA-DRB5,Other
EIF2S2,Other
TGFBR1,Other
PBX2,TF
PINK1,Other
MAGED2,Other
CAMK2N1,Other
FOXE1,TF
FGD1,Other
NCBP1,Other
FKBPL,Other
MRTO4,Other
FAM120C,Other
ATF6B,TF
HABP4,Other
STK19,Other
TFDP1,TF
PAX7,TF
KDM5C,Other
ACTL8,Other
RCC2,Other
CUL4A,Other
TSPYL2,Other
FGD3,Other
EHMT2,Other
BAMBI,Other
ASPN,Other
OMD,Other
HSPA1B,Other
HSPA1A,Other
HSPA1L,Other
LSM2,Other
ASXL1,Other
MAGED1,Other
ZBTB17,TF
SYK,Other
DIRAS2,Other
ING1,Other
MKX,TF
AGMAT,Other
SHC3,Other
DNAJC16,Other
IRS2,Other
SPIN1,Other
CSNK2B,Other
TNFSF13B,Other
BAG6,Other
FOXS1,TF
MYLK2,Other
PRRC2A,Other
CCNB3,Other
LRRC38,Other
ID1,TF
ABI1,Other
FOXP3,TF
HNRNPK,Other
PLP2,Other
ZIC2,TF
GPR158,Other
UBQLN1,Other
MDC1,Other
DHX16,Other
RASEF,Other
DOCK9,Other
OTUD1,Other
TLE1,Other
PTF1A,TF
PPP1R10,Other
TLE4,Other
CTTN,Other
GNL1,Other
GNA14,Other
PUS1,Other
DPRX,TF
BMI1,Other
GATA1,TF
WAS,Other
FOXB2,TF
WDR13,Other
SP2,TF
FBXO6,Other
RBM3,Other
TBC1D25,Other
RORB,TF
SOX21,TF
DNAJC1,Other
GABBR1,Other
KDM2B,Other
KLF9,SE_TF
NKX2-2,TF
SYVN1,Other
TRIM27,Other
POU4F1,TF
PRKACG,Other
FOXH1,TF
CRNKL1,Other
SF1,Other
DTD1,Other
LBX2,TF
DNAJC11,Other
POLR3F,Other
ATXN2,Other
PHF13,Other
HIF3A,Other
ZBTB48,TF
KLF5,TF
MGME1,Other
DCAF10,Other
SNX5,Other
TCOF1,Other
RSU1,Other
LRRC3C,Other
PRR20B,Other
KDM6A,Other
ACTR2,Other
FLRT3,Other
MAOB,Other
LRRC10B,Other
GBA2,Other
ARHGEF35,Other
TDP2,Other
TP73,TF
CA9,Other
ARHGEF16,Other
ACTRT2,Other
BCOR,Other
HES5,TF
LIG3,Other
SKI,Other
DNAAF1,Other
PRPF18,Other
CYBB,Other
LGALS7,Other
ID4,Other
OPTN,Other
ATAD3A,Other
ATAD3C,Other
CYP4V2,Other
BMP2,Other
LRRN4,Other
DVL1,Other
ARID3C,Other
NPHS1,Other
TAB3,Other
ATL2,Other
NR0B1,TF
MAGEB2,Other
PUSL1,Other
ARX,TF
PCNA,Other
NUFIP1,Other
LGR4,Other
DNAJC15,Other
DNAJC2,Other
ACOT9,Other
GATA3,TF
PRDX4,Other
DDX53,Other
AGRN,Other
E2F4,TF
LYRM7,Other
HIVEP1,TF
ISG15,Other
PRNP,Other
NEDD9,Other
TOM1L2,Other
SNX2,Other
NFX1,TF
FOXO1,TF
RPS6KA3,Other
TFAP2A,TF
EEF1E1,Other
IPO7,Other
CYP1A1,Other
TXNDC5,Other
DNAJA1,Other
SIN3B,Other
SMAD9,TF
RIOK1,Other
ARIH1,Other
IL2RA,Other
CDKL5,Other
LINGO2,Other
TRIM5,Other
CDK14,Other
LRRC19,Other
RFC3,Other
RBBP7,Other
TRIM6,Other
TXLNG,Other
MTAP,Other
ALOX15B,Other
GDI2,Other
FBXL19,Other
USP3,Other
MLLT3,Other
TUBB2A,Other
CHD3,Other
RPS6,Other
ZNF768,Other
PIR,Other
RRAGA,Other
NAP1L4,Other
AKR1C3,Other
TMSB4X,Other
EBF4,TF
HADHA,Other
TLR7,Other
SMN1,Other
GPS2,Other
PSIP1,Other
HMGN1,Other
WRNIP1,Other
AK6,Other
SNAPC3,Other
WWC3,Other
NKX3-1,TF
AKR1C1,Other
FOXC1,TF
IRF4,SE_TF
PDX1,TF
CWC27,Other
PFKP,Other
AIPL1,Other
GTF3A,Other
SDC1,Other
NOP56,Other
ZBED1,TF
POLR2B,Other
EXOC1,Other
ITSN1,Other
GLDC,Other
DDX1,Other
MBD3L2,Other
MBD3L4,Other
IL33,Other
OCIAD1,Other
GREB1,Other
E2F6,TF
CDK8,Other
NPSR1,Other
MYBBP1A,Other
SHOX,TF
RLN2,Other
JAK2,Other
NOL10,Other
HMG20A,Other
GART,Other
YWHAQ,Other
RFC1,Other
RFX3,SE_TF
DNAJC21,Other
NIN,Other
TP53BP1,Other
DMRT2,TF
OLIG1,TF
DEAF1,TF
NOP2,Other
NKX3-2,TF
CD9,Other
NYNRIN,Other
DNAJC19,Other
IRX2,TF
PRMT8,Other
RAD51,Other
MSX1,TF
SIRT3,Other
CTIF,Other
STAG1,Other
RNMT,Other
LRRC30,Other
RBMS3,Other
SEC13,Other
CIDEC,Other
BRPF1,Other
SETMAR,Other
FLG2,Other
SPAG1,Other
GPX3,Other
ACVRL1,Other
LRRK1,Other
HSPD1,Other
STK38L,Other
TRIP12,Other
RNF20,Other
POU6F1,TF
DNM2,Other
FANCA,Other
TRAPPC9,Other
TBR1,TF
EP400,Other
SHOX2,TF
RTF1,Other
EXOSC8,Other
GPR149,Other
LRCH1,Other
SQSTM1,Other
CCNK,Other
PPP2R3B,Other
AKT1S1,Other
RPL13A,Other
ZNF541,TF
STRN4,Other
HNRNPUL1,Other
ALPP,Other
AKT2,Other
SP140,Other
PAX3,TF
TBP,Other
XRCC5,Other
SNX9,Other
ZBTB32,TF
EEF1B2,Other
SUMO1,Other
SH2D2A,Other
MYO1B,Other
STAT4,TF
GPS1,Other
RFC4,Other
SRSF2,Other
CIT,Other
HNRNPA3,Other
HOXD13,TF
GRB2,Other
PDK1,Other
INF2,Other
ETS1,TF
STT3A,Other
TANK,Other
BAZ2B,Other
GRK5,Other
TDG,Other
GIPC1,Other
PIAS3,Other
POU2AF1,Other
DPEP1,Other
CUL5,Other
NME2,Other
LRRIQ1,Other
NRF1,TF
BCL2L11,Other
SPOP,Other
PICALM,Other
TGFBRAP1,Other
AASS,Other
CBX1,Other
ZFP1,TF
LONRF2,Other
AP1G1,Other
IRF2,SE_TF
CDKN2D,Other
ARAP1,Other
MON2,Other
SRPK2,Other
TFAP2B,TF
FBXO8,Other
FOLR1,Other
DRD1,Other
PSMC3IP,Other
PPP6R3,Other
TAGLN3,Other
JUP,Other
HELLS,Other
STAMBP,Other
RPL24,Other
GAPVD1,Other
G3BP1,Other
TTC23,Other
NR2F2,TF
CHD2,Other
ELF2,TF
PRC1,Other
USP49,Other
LHX6,TF
KIF7,Other
UTP14A,Other
GTF2F1,Other
RNF14,Other
FKBP2,Other
IRX5,TF
RPL34,Other
ZNF207,Other
BRD7,Other
DMTF1,TF
HSPA2,Other
PRKCD,Other
SFMBT1,Other
ALG13,Other
ZBTB3,TF
PPP3CB,Other
PBRM1,Other
RAB3IL1,Other
PPP3CA,Other
DNAJA4,Other
TGFB1I1,Other
GIT1,Other
KIF20A,Other
FLOT2,Other
SIN3A,Other
SMARCD1,Other
ZBTB9,Other
FZR1,Other
DAAM1,Other
AFF1,Other
DNAJC30,Other
